Produit;Marque;Pays;Energie (kcal/100g);Graisse (g/100g);Sucres (g/100g);Protéines (g/100g);Score nutritionnel;;;;;
Skyr;Yoplait;France;57.0;0.5;3.6;9.5;-2.0;;;;;
Toblerone;Toblerone;Algeria;528.0;28.0;60.0;5.6;31.0;;;;;
Organic Milk Chocolate;Green & Black's;Ireland;561.0;36.0;46.0;9.8;31.0;;;;;
KÉFIR;Reina;Morocco;48.0;1.5;4.7;3.4;-1.0;;;;;
Fage;Fage;Ireland;54.0;0.0;3.0;10.3;-4.0;;;;;
Frommage fondu;REWE Beste Wahl;Morocco;298.0;26.0;4.0;7.0;17.0;;;;;
Oat Drink Whole;Oatly!;Spain;60.0;2.8;3.4;1.1;7.0;;;;;
SALIM LBEN 440G;;Morocco;39.5;0.7;0.0;2.3;0.0;;;;;
Barista edition oat drink;Oatly!;United-kingdom;61.0;3.0;3.4;1.1;7.0;;;;;
Dessert gourmand choco;Jaouda;France;233.0;10.0;10.0;3.33;3.0;;;;;
La vache qui rit;La vache qui rit;France;232.0;18.0;6.5;11.0;17.0;;;;;
Greek style yoghurt;Tesco;Ireland;99.0;7.5;4.2;3.7;6.0;;;;;
High Protein Drink Cacao;Milbona;Cyprus;67.0;0.3;5.2;10.6;7.0;;;;;
lait;Jaouda;Morocco;191.0;1.5;0.0;3.0;-4.0;;;;;
Danup fraise;Danone;France;246.0;1.28;5.5;1.75;4.0;;;;;
Alpro Plain;Alpro, Danone;Belgium;51.0;2.3;2.2;4.0;0.0;;;;;
Creamed Coconut Block;Blue Dragon;United-kingdom;685.0;64.0;5.8;7.2;14.0;;;;;
Butter;Lurpak;United-kingdom;739.0;82.0;0.7;0.6;24.0;;;;;
Coconut Water The Original;Vita Coco;Belgium;18.8;0.0;4.58;0.0;-2.0;;;;;
Greek style natural yoghurt;Brooklea;United-kingdom;125.0;10.0;4.4;4.1;7.0;;;;;
single origin milk chocolate;Marks & Spencer;France;618.0;47.4;37.2;8.4;29.0;;;;;
Le Beurre Tendre Demi-Sel Barquette;Elle & Vire, Savencia;Belgium;725.0;80.0;0.7;0.6;29.0;;;;;
Barista Organic Oat M*lk;Minor Figures;Ireland;44.0;1.8;2.5;0.2;5.0;;;;;
