Produit;Marque;Pays;Energie (kcal/100g);Graisse (g/100g);Sucres (g/100g);Protéines (g/100g);Score nutritionnel;;;;;
Lightly Salted Rice Crackers;Rivercote;United-kingdom;402.0;3.6;3.4;6.9;7.0;;;;;
Rice noodles chick-n ramen;Itsu;United-kingdom;69.0;1.2;0.73;1.66;3.0;;;;;
Wok&go - Poulet et riz au curry; coco;Fleury Michon;France;171.0;9.3;2.5;5.4;5.0;;;;
Basmati Rice;Tesco;Ireland;153.0;1.0;0.1;3.4;0.0;;;;;
Long grain rice - Classic;Worldwide Foods,Aldi;Ireland;144.0;1.6;0.5;2.7;1.0;;;;;
Ben's Mexican style;Uncle Ben;United-kingdom;154.0;2.18;1.0;3.45;;;;;;
Bens Express Rice Long Grain 220g;Ben's;Spain;135.0;0.909;0.455;2.73;0.0;;;;;
Organic Quinoa & Brown Rice with Garlic;Seeds of Change;Spain;169.0;2.46;0.704;4.23;3.0;;;;;
Wholegrain Rice & Quinoa;Worldwide Foods;United-kingdom;156.0;2.3;0.5;4.0;2.0;;;;;
Rice cracker paprika;Nature Addict;Belgium;426.0;8.2;2.4;6.3;8.0;;;;;
Salt & Vinegar Rice Cakes;Savour Bakes;United-kingdom;429.0;8.57;1.43;7.14;16.0;;;;;
Riz aux Légumes du Soleil;Ben's;France;151.0;2.2;0.7;3.3;1.0;;;;;
Brown Rice;By Sainsbury's;United-kingdom;161.0;1.9;0.5;3.8;1.0;;;;;
Rice snaps;Asda;United-kingdom;386.0;1.3;4.9;7.9;4.0;;;;;
Coconut Drink with Rice and Calcium;RUDE HEALTH;United-kingdom;58.0;1.4;4.1;0.4;9.0;;;;;
Rice noodles chilli miso;itsu;United-kingdom;71.9;0.764;0.868;1.67;3.0;;;;;
Growers Harvest Microwave Wholegrain Rice;Tesco;United-kingdom;167.0;3.0;0.1;3.7;-3.0;;;;;
Aromatic & fluffy basmati rice 250g pack;Tesco;France;134.0;1.0;0.1;3.3;1.0;;;;;
Tilda Coconut Basmati Rice;Sainsbury's, Tilda;Australia;163.0;5.04;0.4;3.44;11.0;;;;;
Crisp Rice;Harvest Morn;Ireland;387.0;1.33;5.0;8.0;4.0;;;;;
Special Golden Veg Rice;Worldwide Foods;United-kingdom;151.0;1.52;0.64;3.04;;;;;;
Rice Pops;by Sainsburys;United-kingdom;394.0;1.2;4.1;7.4;4.0;;;;;
Basmati Rice (raw);Lidl;Ireland;369.0;0.5;0.5;8.1;-1.0;;;;;
Tortitas de arroz con chocolate blanco;Hacendado;Portugal;467.0;20.0;29.0;7.2;26.0;;;;;
Sticky Rice;Veetee;United-kingdom;152.0;1.8;0.1;2.3;1.0;;;;;
Basmati Rice;Veetee;United-kingdom;129.0;1.4;0.2;2.9;0.0;;;;;
Spicy mexican basmati rice;Tilda;France;122.0;3.12;0.64;2.72;2.0;;;;;
Arroz integral largo;Hacendado;Spain;350.0;2.8;0.5;7.6;-1.0;;;;;
Mexican style grains;Merchant Gourmet;United-kingdom;164.0;2.6;3.5;3.7;8.0;;;;;
Coco Pops;Kellogg's;Ireland;386.0;1.9;17.0;6.3;7.0;;;;;
Savoury Chicken Flavour Rice;Ben’s Original;United-kingdom;160.0;2.18;0.727;3.27;0.0;;;;;
Puffreis mit Schokolade;NIPPON;France;533.0;30.0;40.0;5.6;28.0;;;;;
Arborio Risotto Rice;Tesco;United-kingdom;357.2;1.2;0.1;7.3;3.0;;;;;
Lightly Salted Rice Cakes;Quaker;United-states;389.0;0.0;0.0;11.1;2.0;;;;;
Lunch bowl Riz & haricots 250g;Bonduelle;Austria;143.0;3.4;2.1;4.2;0.0;;;;;
Bens Original Wholegrainn Spicy Mexican Style Rice;bens original;United-kingdom;158.0;3.6;1.1;4.1;2.0;;;;;
Boisson de riz;The Bridge, the bridge la familiglia organic;France;65.0;1.3;4.8;0.5;9.0;;;;;
Arroz cigala;;Morocco;353.0;1.0;0.1;6.0;-1.0;;;;;
Wholegrain Rice with Quinoa;Lidl;United-kingdom;154.0;2.9;0.1;3.8;9.0;;;;;
Special coconut rice;Worldwide foods;United-kingdom;168.0;4.2;0.5;3.5;10.0;;;;;
Brown; Red & Wild Wholegrain Rice;Merchant Gourmet;United-kingdom;157.0;2.5;0.2;3.0;1.0;;;;
Rice noodles;By Sainsbury's;United-kingdom;134.0;0.5;0.5;2.4;1.0;;;;;
Lightly Salted Rice Crackers;theSnack organisation;New-zealand;424.0;4.5;3.7;6.3;14.0;;;;;
Brown Basmati Rice;Sainsburys;United-kingdom;136.0;1.2;0.5;3.2;2.0;;;;;
Wholegrain red & wild microwavable rice;Lidl;United-kingdom;177.0;2.0;0.2;4.0;1.0;;;;;
Brown rice cake;Rice Up!;Bulgaria;385.0;3.9;7.0;9.3;7.0;;;;;
Brown rice cakes;Rice Up;Bulgaria;399.0;3.8;0.9;8.8;5.0;;;;;
Brown Basmati Rice;Tilda;France;0.0;0.0;0.0;0.0;0.0;;;;;
5 whole grains and rice microwaveable;Lidl;United-kingdom;155.0;2.9;0.1;4.1;;;;;;
Sweet Chilli Rice Crackers;Rivercote;United-kingdom;432.0;7.2;5.5;7.2;19.0;;;;;
Fragant Jasmine Rice;Tilda;United-kingdom;141.0;1.84;0.08;2.56;1.0;;;;;
Caribbean Rice & Peas Basmati Rice;Tilda;United-kingdom;130.0;4.0;1.04;3.2;10.0;;;;;
World foods;Aldi;United-kingdom;150.0;2.6;0.7;3.8;;;;;;
Mexican rice;Taste of;United-kingdom;146.0;1.6;1.6;2.88;1.0;;;;;
Sweet Chilli Rice Crackers;Aldi;United-kingdom;427.0;6.6;4.6;7.2;16.0;;;;;
Choco Rice;Crownfield;France;376.0;2.5;17.0;6.7;10.0;;;;;
Golden Vegetable Rice;Tesco;Czech-republic;148.0;1.8;1.4;3.7;3.0;;;;;
Risotto au poulet et aux cèpes;Toque du Chef;France;121.0;5.6;0.8;5.68;4.0;;;;;
Apple rice cakes;mamia;United-kingdom;372.0;1.0;9.7;7.4;;;;;;
Brown basmati;Lidl;United-kingdom;154.0;2.7;0.2;4.7;-2.0;;;;;
Rice bar dark chocolate;LIFESTYLE;Belgium;511.0;27.0;25.0;7.4;21.0;;;;;
Brown Rice Easy Cook;Lidl, Taste of, Lidl Taste of;France;393.0;3.1;0.7;7.5;-4.0;;;;;
lightly salted wholegrain rice cakes;By Sainsbury's;United-kingdom;383.0;2.7;0.7;9.2;;;;;;
Pad Thai Rice Noodles;Thai Dragon;United-kingdom;351.0;1.1;2.5;5.2;2.0;;;;;
Brown Rice;Aldi;United-kingdom;169.0;1.3;0.3;3.2;2.0;;;;;
Tilda Basmati Rice;Tilda, British Oakham Chicken;United-kingdom;351.0;0.8;0.5;7.8;0.0;;;;;
Rice Krispies;Kellogg's;France;389.0;1.2;7.9;7.0;8.0;;;;;
Madagascan Vanilla Custard;Sainsbury’s Taste the Difference;United-kingdom;193.0;13.4;11.4;3.1;14.0;;;;;
Organic salmon;marks and spencer;United-kingdom;388.0;2.5;2.19;10.0;8.0;;;;;
LONG GRAIN RICE;Ben's Original;United-kingdom;352.0;1.12;0.501;7.36;-3.0;;;;;
Golden Vegetable Rice;Tilda;United-kingdom;153.0;2.5;1.0;3.4;3.0;;;;;
Salt & Pepper Veggie Crackers;Marks & Spencer;Inconnu;438.0;14.3;0.952;11.4;1.0;;;;;
Galette Riz Chocolat Noir;Gerblé;France;463.0;17.0;22.0;8.3;18.0;;;;;
Wholegrain Brown Basmati Rice;Tilda;France;351.0;2.8;1.1;8.6;-2.0;;;;;
Kellogg's Smacks With Sugar;Kellogg's;Belgium;377.0;1.6;34.0;7.1;11.0;;;;;
Risotto au saumon & épinards à la crème;Fleury Michon;France;141.0;6.7;0.6;6.7;2.0;;;;;
Brown Rice Cakes;Sondey ( Lidl );Belgium;374.0;3.9;0.5;10.5;2.0;;;;;
Milk chocolate Rice cakes;Tesco;Ireland;480.0;21.4;30.1;7.2;23.0;;;;;
Lemon & Herb Basmati Rice;Tilda;United-kingdom;138.0;2.24;0.08;2.64;2.0;;;;;
Italian Arborio Risotto Rice;Sainsbury's,by sainsbury's;United-kingdom;133.0;0.5;0.5;2.8;1.0;;;;;
Rice Cakes;Sainsbury's;France;388.0;2.4;0.5;8.1;1.0;;;;;
Katsu rice noodles cup;Itsu;United-kingdom;338.0;1.69;4.73;6.98;;;;;;
WR Ess Rice pops 440g;Waitrose;Spain;385.0;1.2;8.8;7.5;6.0;;;;;
Pollo al curry;Hacendado;Spain;48.5714285714286;1.78571428571429;0.178571428571429;2.92857142857143;-2.0;;;;;
long grain easy cook rice;Golden Sun, Lidl, Golden Sun Lidl;Denmark;350.0;1.1;0.4;7.0;1.0;;;;;
Basmati rice;Tilda;United-kingdom;351.0;0.8;0.5;7.8;0.0;;;;;
Tortitas de arroz con chocolate blanco y trocitos de fresa frambuesa y mora;Bicentury;France;475.0;18.0;28.0;7.5;23.0;;;;;
Long Grain Rice;Tesco;France;137.0;0.6;0.5;3.0;3.0;;;;;
Lightly Salted Rice Crackers;Asia Specialities;Ireland;415.0;3.7;3.7;7.0;12.0;;;;;
Tesco Finest Chicken and Chestnut Mushroom With Basmati Rice;Tesco;United-kingdom;46.0;1.3;1.1;2.5;1.0;;;;;
Classic Pilau Rice;Aldi;United-kingdom;168.0;2.3;0.6;3.1;0.0;;;;;
Wholegrain rice;Waitrose;United-kingdom;150.0;2.1;0.5;3.3;-4.0;;;;;
Golden Vegetable rice;Lidl;United-kingdom;136.0;1.8;1.2;3.2;5.0;;;;;
Rice Cakes with Dark Chocolate Coating;Sondey;France;480.0;23.0;26.5;6.9;12.0;;;;;
Riz long grain;Golden Sun;France;359.0;0.3;0.3;7.4;1.0;;;;;
Galette de maïs Chocolat Noir;Carrefour BIO,Carrefour;France;489.0;23.0;22.0;7.1;19.0;;;;;
Choco Rice;Carrefour, Carrefour Kids;Belgium;381.0;2.0;19.0;7.1;8.0;;;;;
Milk chocolate rice cakes;Kallo;United-kingdom;496.0;24.0;30.0;6.7;24.0;;;;;
Végétal;Pierre martinet;France;180.0;6.2;2.7;6.2;1.0;;;;;
Spicy Mexican style rice;Sainsbury's;France;182.0;2.6;1.6;3.8;1.0;;;;;
Brown rice crisps with chia seeds & quinoa;Snack day;Belgium;467.0;17.0;0.9;7.9;2.0;;;;;
Risotto Rice;Gallo;Spain;348.0;1.0;0.2;6.9;2.0;;;;;
Egg fried rice;Worldwide Foods;Ireland;144.0;2.32;0.48;3.36;;;;;;
Brown rice bar;riceUP;Bulgaria;520.0;25.0;23.0;7.5;18.0;;;;;
Turrón de chocolate crujiente;Hacendado;Morocco;526.0;28.0;48.0;6.9;28.0;;;;;
Riz à la Cantonaise Formule Express;Picard;France;128.0;3.5;0.6;4.7;3.0;;;;;
Slightly Salted Rice Cakes;Asda;United-kingdom;385.0;2.9;0.5;8.7;2.0;;;;;
Long Grain Rice;Tesco;Austria;144.0;1.04;0.08;2.96;3.0;;;;;
Kallo apple and cinnamon wholegrain low fat rice and corn cakes;Kallo;United-kingdom;379.0;2.05;18.5;7.18;8.0;;;;;
Basmati Rice;Sainsbury's;United-kingdom;137.0;0.5;0.5;2.8;1.0;;;;;
Choco rice;Hacendado;Spain;382.0;1.7;24.0;6.8;14.0;;;;;
basmati rice;Golden Sun (Lidl);Croatia;350.0;1.1;0.5;8.9;1.0;;;;;
Pilau Microwave Rice;Lidl;United-kingdom;148.0;1.8;0.0;3.2;4.0;;;;;
Winter Grains;World Wide Foods;Ireland;182.0;2.5;4.6;4.7;2.0;;;;;
Rice crisps apple flavour;Happy Creations;Belgium;340.0;1.1;12.0;6.8;6.0;;;;;
Sticky Rice;Tilda;United-kingdom;177.0;1.04;0.08;3.12;3.0;;;;;
RIZ;;Morocco;375.0;2.6;1.1;7.7;;;;;;
Reiswaffeln;Sondey;Germany;374.0;1.9;0.3;8.0;0.0;;;;;
Brown Rice Cakes Lightly Salted;Lundberg Family Farms;Germany;378.0;2.7;0.0;5.41;0.0;;;;;
Brown rice chips;Rice Up;Bulgaria;460.0;17.0;2.4;8.0;7.0;;;;;
Brown Rice Miso;Clearspring;France;158.0;6.1;7.0;12.0;23.0;;;;;
Rice Pudding;Ambrosia;United-kingdom;94.0;2.0;8.7;3.1;3.0;;;;;
Peri Peri Basmati Rice;Tilda;New-zealand;131.0;2.48;0.96;2.48;0.0;;;;;
Pilau rice;Sainsbury's;United-kingdom;162.0;1.12;0.64;3.28;1.0;;;;;
Basmati Rice;;Morocco;345.60000610352;0.60000002384186;0.0;7.0;0.0;;;;;
Brown Rice Cakes with black imperial rice;Sondey;Inconnu;384.0;3.5;0.9;9.2;1.0;;;;;
Sabroz arroz blanco cocido;Sabroz;Spain;132.0;2.3;0.0;3.0;3.0;;;;;
rice cakes;Sondey;Belgium;385.0;2.5;0.5;8.0;1.0;;;;;
EGG FRIED RICE;Ben's Original;United-kingdom;156.0;2.64;0.727;3.73;;;;;;
Cheeky Chocolate Chip Flavour Crispy Rice and Corn Cakes;Snack a Jacks;United-kingdom;386.0;5.7;20.0;6.1;6.0;;;;;
Thai Jasmine Rice;Tilda;France;349.0;0.6;0.5;7.9;1.0;;;;;
Arroz vaporizado;Hacendado;Spain;345.0;0.7;0.6;7.9;1.0;;;;;
Basmati micro rice;Asda;United-kingdom;145.0;0.8;0.5;2.9;0.0;;;;;
Classic basmati rice;Aldi;United-kingdom;124.0;0.691;0.106;2.82;2.0;;;;;
Riz cuisiné Tomate et huile d'olive;Uncle Ben's;France;182.0;4.9;1.8;4.0;5.0;;;;;
Rice Crackers Sel & Vinaigre;N/A;France;429.0;8.0;0.0;6.8;8.0;;;;;
Riz blanc;;France;7.0;0.0;0.0;0.2;-1.0;;;;;
Aged White Cheddar Rice & Corn Puffs;Pirate's Booty;United-states;500.0;21.4;7.14;7.14;17.0;;;;;
Crevettes marinees;Picard;France;111.0;4.5;0.80000001192093;5.0999999046326;3.0;;;;;
Coco pops;Kellogg's;France;382.0;1.9;17.0;6.3;11.0;;;;;
BIO RICE DRINK ALMOND;The Bridge;France;70.0;1.9;5.0;0.5;9.0;;;;;
Basmati Brown Rice;Sainsburys;United-kingdom;137.0;0.5;0.5;2.8;1.0;;;;;
Vitte wheat and rice flakes;Crownfield;Romania;405.0;6.6;16.6;9.5;11.0;;;;;
Organic Millet & Brown Rice Ramen Noodles;Lotus Foods;United-states;343.0;4.29;0.0;11.4;-3.0;;;;;
Folded brown rice noodles;Asia Specialities;United-kingdom;131.0;0.2;0.8;2.8;;;;;;
ambrosia light rice pudding;Ambrosia;United-kingdom;77.0;1.3;6.0;3.2;0.0;;;;;
Pilau Rice;Tesco;Ireland;150.0;1.52;0.48;3.44;4.0;;;;;
Popped Brown Rice Chips Hummus;RICE UP!;France;463.0;17.0;2.4;8.5;7.0;;;;;
Paëlla;Toque du Chef;France;156.0;6.3;0.9;9.0;3.0;;;;;
Rice Crackers Fromage;Nature Addict;France;438.0;10.0;2.2;7.8;6.0;;;;;
Sweet And Salty Rice Cakes;Marks & Spencer;United-kingdom;453.0;14.7;3.16;8.42;;;;;;
Microwave Basmati Rice;The Grower's Harvest;United-kingdom;134.0;1.9;0.1;3.4;0.0;;;;;
Caramel Flavour Rice and Corn Cakes;Snack a Jacks;United-kingdom;385.0;1.54;18.5;6.15;5.0;;;;;
Reis-Waffeln Mit Milchschokolade;Sondey;France;485.0;21.6;31.7;6.59;25.0;;;;;
Tuna salad with rice;NiXe;Bulgaria;139.0;6.5;1.7;8.9;2.0;;;;;
Rice Pudding;Ambrosia;United-kingdom;196.0;4.6;17.8;6.2;7.0;;;;;
Tortitas de Arroz y Quinoa;Cocari;France;390.0;3.1;0.7;9.7;0.0;;;;;
Steamed Brown Rice;Woolworths;Australia;88.0;0.4;4.8;4.0;29.0;;;;;
Pudding;The Dessert Menue;United-kingdom;96.0;2.2;8.9;3.2;3.0;;;;;
Riz à la cantonnaise;Picard;France;132.0;2.7;0.5;5.0;2.0;;;;;
wholegrain rice;Asda;Germany;172.0;2.4;0.4;4.08;2.0;;;;;
Microwave Wholegrain Rice;M&S Eat Well;United-kingdom;167.0;1.9;0.1;3.4;-1.0;;;;;
Poule au riz;Toque du chef;France;115.0;3.0;0.8;6.5;5.0;;;;;
long grain rice;Golden Sun;Belgium;361.0;1.9;1.2;7.5;0.0;;;;;
Galettes de riz nappées au chocolat noir;Monoprix, Monoprix Bio;France;495.0;24.0;21.0;7.5;18.0;;;;;
Riz cantonais;Marie SAS, Traditions d'Asie;France;157.0;5.1;1.4;5.1;2.0;;;;;
Rice Krispies Squares gooey marshmallow;Kellogg's;France;1570.0;45.0;119.0;10.6;34.0;;;;;
ESSIG Reisessig;Yutaka;Germany;24.0;0.5;5.1;0.5;;;;;;
Rice wafers;Everyday;Belgium;4840.0;37.5;11.2;97.5;15.0;;;;;
Rice Coconut;Riso Scotti;Bolivia;72.0;2.5;6.6;0.2;13.0;;;;;
Chicken; Mushroom and Rice Soup;M&S Food;France;54.0;1.5;0.6;2.9;0.0;;;;
Mexican Inspired Rice;Tesco;Czech-republic;150.0;2.48;1.44;3.28;2.0;;;;;
White Rice Vinegar imp;Blue Dragon;United-kingdom;15.0;0.5;0.0;0.5;;;;;;
Rice noodles;Asda;United-kingdom;141.0;1.4;0.5;2.7;0.0;;;;;
Stockwell Rice Pudding;Stockwell;United-kingdom;81.0;0.8;7.2;3.1;2.0;;;;;
Paella;Culinea, Lidl;France;94.9;1.31;1.41;5.6;2.0;;;;;
Special peri peri rice;Aldi;Ireland;157.0;2.4;1.9;3.3;;;;;;
Muller rice pudding low fat;Muller;United-kingdom;96.0;2.1;9.7;3.5;3.0;;;;;
Easy Cook Brown Rice;Worldwide Foods;United-kingdom;424.0;3.26;0.752;8.02;;;;;;
Sweet chilli rice-cakes;Aldi;Germany;414.0;8.57;5.71;7.14;15.0;;;;;
Poulet curry et lait de coco;Marie;France;155.0;5.9;0.8;6.9;3.0;;;;;
Mediterran;Ben's Original,Mars,Uncle Ben's;Germany;169.0;3.3;2.5;3.8;1.0;;;;;
Wholegrain golden vegetable rice;Uncle Ben’s;United-kingdom;150.0;2.8;0.7;3.6;2.0;;;;;
Hot salmon and rice salad;waitrose;United-kingdom;155.0;6.97;5.29;5.57;5.0;;;;;
Organic Quinoa & Brown Rice with Garlic Flavour;Seeds of change;France;183.0;3.33;0.00417;3.33;1.0;;;;;
Veetee Dine In Basmati Rice;Veetee;France;129.0;1.43;0.214;2.93;0.0;;;;;
Rice Almond Bio;Riso Scotti;France;74.0;2.2;8.0;0.7;13.0;;;;;
Vitalday maíz chocolate negro;Gullón,Vitalday;Morocco;457.0;17.0;21.0;6.0;23.0;;;;;
Rice Sticks Pad Thai Noodles;Go-Tan;France;345.0;0.8;0.1;7.5;1.0;;;;;
Long grain rice japanese katsu curry;Naked;France;114.0;0.271;1.51;2.48;11.0;;;;;
Brown &rice;Sondey;Greece;397.0;4.2;0.9;9.5;5.0;;;;;
Chicken Tikka Masala;Sainsbury's;Spain;129.0;5.5;3.7;6.4;2.0;;;;;
Rice Pudding;Lidl;Ireland;95.0;1.5;8.8;3.0;2.0;;;;;
Rice pudding;Everyday Essentials,Aldi;United-kingdom;80.0;0.85;6.95;3.05;1.0;;;;;
Mor Rice Crackles 375g;Morrisons;United-kingdom;385.0;1.3;4.9;7.9;7.0;;;;;
Taste Of Long Grain Rice;Taste Of (Lidl);United-kingdom;140.0;0.4;0.0;3.2;7.0;;;;;
Chicken Tikka Masala and Pilau Rice;Charlie Bingham's;United-kingdom;178.0;8.14;2.46;7.0;6.0;;;;;
Thai green chicken curry;Charlie Bigham's;United-kingdom;154.0;5.7;2.6;6.6;4.0;;;;;
BBQ Rice Crackers;Rivercote;United-kingdom;424.0;6.2;4.4;6.8;14.0;;;;;
Rice Bar White Chocolate & Caramel;;France;517.0;27.0;33.0;5.5;25.0;;;;;
Kellogs azzurro;Kellogg's;Italy;389.0;1.2;7.9;7.0;8.0;;;;;
Choco Rice;Aldi;Belgium;394.0;3.6;17.0;11.0;0.0;;;;;
Trio de riz;Céréal Bio;France;174.0;1.6;0.0;3.6;8.0;;;;;
Mélange de céréales et légumes secs étui de 500g;U,U Bio;France;370.0;5.7;3.1;18.0;-11.0;;;;;
Galettes de riz de Camargue complet;Bongran;France;387.0;1.3;0.4;8.8;2.0;;;;;
Rice Up Brown Rice Cake Black Imperial Rice Unsalted 120G Vegan;Rice Up;Bulgaria;384.0;3.5;1.0;9.2;0.0;;;;;
Rice Original;Riso Scotti;Bolivia;61.0;0.9;8.5;0.2;12.0;;;;;
Tortitas de Arroz;Bicentury;France;393.0;3.5;0.8;7.8;14.0;;;;;
Tortitas;Bicentury;Spain;468.0;17.0;26.0;7.1;18.0;;;;;
Salt & Vinegar Rice Cakes;asda;United-kingdom;353.0;2.6;0.5;9.1;13.0;;;;;
Multi-Seed Original Crunchy Baked Rice Crackers;Crunchmaster;United-states;1440.0;44.4;11.1;33.3;33.0;;;;;
Rice cakes with milk choclate coating;Harvest Morn;Germany;480.0;20.0;33.0;7.0;24.0;;;;;
BIO Rice syrup;Maribel;Czech-republic;316.0;0.1;55.0;0.1;18.0;;;;;
Sourdough White Ciabattin Bread;Jason’s;Ireland;230.0;0.8;2.4;10.1;2.0;;;;;
Proper Sourdough;Jason's Sourdough;United-kingdom;237.0;0.7;2.1;9.7;1.0;;;;;
Sourdough Grains & Seeds;Jason's;United-kingdom;237.0;2.7;1.4;10.7;0.0;;;;;
Jasons Sourdough;Jasons;Ireland;233.0;1.1;2.6;9.3;2.0;;;;;
FIBRES;Wasa;Belgium;333.0;5.0;2.0;12.0;0.0;;;;;
Krisprolls complets sans sucres ajoutés;Krisprolls;France;400.0;6.6;1.1;13.0;0.0;;;;;
14 Maxi Tranches complet sans sucres ajoutés;Jacquet;France;243.0;3.0;3.8;8.7;2.0;;;;;
Dark Rye Crispbread;Ryvita;Ireland;352.0;1.14;2.86;10.5;-2.0;;;;;
nutella;nutella;Finland;533.0;30.7;56.0;6.0;31.0;;;;;
Wholegrain Rye Bread;Lidl,Lidl Rowan Hill Bakery,Lidl Tastino,Rowan Hill Bakery;Croatia;209.0;1.79;3.93;5.71;0.0;;;;;
Pain De Mie Bio;La Boulangère,La Boulangère Bio;France;268.0;4.2;6.3;8.1;4.0;;;;;
Seed Sensations;Hovis;France;277.0;6.59;3.86;10.0;1.0;;;;;
Bakery Co. 5 The Original Bagels;New York Bakery Co;France;229.0;2.2;4.4;7.8;0.0;;;;;
Rye & Mixed Seed Sourdough Bread;Tesco;United-kingdom;262.0;4.4;2.4;8.6;-1.0;;;;;
Seeded Sourdough Bread;Specially Selected;United-kingdom;265.0;4.9;0.5;9.5;-3.0;;;;;
wasa;Barilla,Wasa;France;338.0;1.5;2.0;9.0;0.0;;;;;
Everyday White Rolls;Jason's;United-kingdom;245.0;0.75;3.38;10.0;2.0;;;;;
Harrys brioche tressee nature au sucre perle sans additifs 500g;Harrys;France;356.0;13.0;13.0;8.6;5.0;;;;;
No. 6 Sourdough Majestic Malted;Jason's;United-kingdom;255.0;2.7;1.8;9.3;3.0;;;;;
Dark Rye Sourdough;Specially Selected;United-kingdom;234.0;1.3;1.5;7.9;0.0;;;;;
MULTISEED WHOLEMEAL FARMHOUSE LOAF;Sainsbury's taste the difference;France;270.0;7.5;4.2;12.8;0.0;;;;;
Biscottes 6 Céréales;Heudebert;Belgium;402.0;7.8;3.4;13.0;12.0;;;;;
White Sourdough;Tesco Finest;United-kingdom;238.0;2.8;2.7;7.5;0.0;;;;;
Les tranches Végé - lentilles corail;Fleury Michon;France;143.0;6.5;0.5;8.1;5.0;;;;;
Pain de mie Bio grandes tranches céréales & graines 500g;La Boulangère;France;310.0;8.6;4.9;9.2;4.0;;;;;
Pain grillé au blé complet;LU Pelletier;France;387.0;4.9;2.6;12.0;12.0;;;;;
Organic Piadina 4 Wholeblend Flatbreads with Extra Virgin Olive Oil;Crosta & Mollica;United-kingdom;305.0;8.53;1.07;7.87;9.0;;;;;
Classic Torinesi Breadsticks;Crosta & Mollica;France;402.0;6.5;2.8;19.8;15.0;;;;;
Pain de mie grandes tranches Toastiligne complet;la boulangère;France;226.0;1.9;2.8;10.0;-1.0;;;;;
Wholemeal bread 54kcal;Warburtons;France;227.0;2.52;2.52;10.5;-1.0;;;;;
Hand finished seeded sourdough bread;Coop;United-kingdom;251.0;3.9;2.5;8.8;1.0;;;;;
Finn Crisp;Finn Crisp, LANTMANNEN CEREALIA AS;Austria;350.0;2.6;1.6;10.0;1.0;;;;;
Seeded Batch;Warburtons;France;293.0;8.9;2.6;10.6;1.0;;;;;
The Original Crunchy Rye Breads;Ryvita;Ireland;352.0;0.952;2.86;10.5;-2.0;;;;;
Tasty Wholemeal Medium;Hovis;France;220.0;1.75;4.0;10.0;-1.0;;;;;
50/50 Medium Bread;Kingsmill;France;235.0;2.25;8.75;9.5;0.0;;;;;
Piadina;Crosta & Mollica;Ireland;299.0;7.9;2.4;8.9;11.0;;;;;
Grilletines blé complet;Brioche Pasquier, Pasquier;France;418.0;10.0;7.3;13.0;8.0;;;;;
Wholemeal Bread;Warburtons;France;228.0;2.23;2.46;10.5;-2.0;;;;;
Harrys beau & bon pain de mie farine de ble cereales & graines 320g;Harrys;France;286.0;6.5;3.5;12.0;1.0;;;;;
Ryvita Multigrain Crispbread;RYVITA;France;352.0;4.76;3.81;12.4;-3.0;;;;;
White Sourdough;Sainsbury's;France;266.0;3.3;1.5;9.2;4.0;;;;;
Toastie Thick Sliced Soft White Bread;Warburtons;France;244.0;2.0;3.0;9.1;4.0;;;;;
Organic Crisp Bread;DR KARG'S;France;442.0;18.0;2.4;18.0;12.0;;;;;
Italian Original Breadsticks;Tesco;France;414.0;7.9;2.8;11.2;14.0;;;;;
Whole Grain Rye Bread;Schneider Brot;France;201.0;1.0;2.2;5.2;0.0;;;;;
Krisprolls complets sans sucres ajoutés;KRISPROLLS;France;400.0;6.92;3.85;13.1;6.0;;;;;
White Sourdough Loaf;Specially Selected;United-kingdom;231.0;0.7;1.9;9.4;1.0;;;;;
Hand Finished White Sourdough;Coop;United-kingdom;242.0;2.7;2.7;8.0;1.0;;;;;
4 Greek Style Flatbreads;K Kitchen Deli;United-kingdom;255.0;4.2;2.9;11.3;-1.0;;;;;
Heudebert Fibre +;Heudebert;Belgium;384.0;5.7;5.4;15.0;7.0;;;;;
Krisprolls complets;Pågen;France;397.0;6.2;7.0;12.0;11.0;;;;;
Soft White Medium Bread;Hovis;France;232.0;1.75;3.5;8.75;4.0;;;;;
Biscottes Sans sucres ajoutés Blé complet;Pasquier;France;384.0;6.2;3.4;14.0;-1.0;;;;;
Protein Thin Bagels;Warburtons;United-kingdom;257.0;3.3;3.2;13.5;0.0;;;;;
Wholemeal Pittas;TESCO;Ireland;241.0;1.2;2.8;10.3;-4.0;;;;;
Mission Deli White Wraps;Auto Extreme;United-kingdom;313.0;7.05;2.13;8.03;3.0;;;;;
Wholemeal Pittas;Sainsbury's;United-kingdom;241.0;1.25;2.86;10.4;10.0;;;;;
Wraps;Old El Paso;France;299.0;5.2;2.1;9.1;5.0;;;;;
6 Wholemeal Pittas;Village Bakery;United-kingdom;236.0;1.3;1.7;10.0;-3.0;;;;;
NYC BAGEL Sesame;NEW YORK BAKERY;France;313.0;4.43;0.0;12.9;-2.0;;;;;
Sourdough Wholemeal Ciabattin;Jason's;United-kingdom;232.0;1.2;2.2;11.7;-3.0;;;;;
Biscottes;Heudebert,Lu,Mondelez;France;165.0;2.9;2.8;4.6;4.0;;;;;
La Biscotte 96% de céréales;Heudebert;France;408.0;7.3;6.8;11.0;13.0;;;;;
Everyday Tiger Rolls with Sourdough;Jason's;United-kingdom;250.0;0.625;3.5;9.12;5.0;;;;;
